dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,287.077526,1.903780,294.928354,13.293273,3.849558,8.581887,6.132723
0.020000,287.342054,1.864685,295.195755,13.370082,3.840463,-0.454741,6.140212
0.020000,287.608428,1.827378,295.464729,13.448700,3.930875,4.520613,6.147877
0.020000,287.876702,1.791923,295.735336,13.530326,4.081340,7.523215,6.155722
0.020000,288.146895,1.758395,296.007601,13.613287,4.148051,3.335563,6.163751
0.020000,288.419022,1.726868,296.281548,13.697347,4.202985,2.746713,6.171967
0.020000,288.693110,1.697421,296.557214,13.783260,4.295667,4.634101,6.180375
0.020000,288.969202,1.670132,296.834651,13.871866,4.430286,6.730920,6.188980
0.020000,289.247320,1.645086,297.113894,13.962168,4.515072,4.239297,6.197784
0.020000,289.527471,1.622369,297.394965,14.053529,4.568090,2.650915,6.206792
0.020000,289.809676,1.602072,297.677899,14.146705,4.658789,4.534968,6.216007
0.020000,290.093954,1.584288,297.962732,14.241668,4.748150,4.468043,6.225434
0.020000,290.380327,1.569113,298.249507,14.338756,4.854417,5.313339,6.235076
0.020000,290.668815,1.556645,298.538265,14.437887,4.956537,5.106026,6.244937
0.020000,290.959412,1.546988,298.829022,14.537861,4.998698,2.108040,6.255021
0.020000,291.252123,1.540248,299.121811,14.639419,5.077888,3.959507,6.265331
0.020000,291.546949,1.536533,299.416660,14.742483,5.153205,3.765809,6.275870
0.020000,291.843888,1.535957,299.713600,14.846963,5.224015,3.540514,0.003456
0.020000,292.142931,1.538632,300.012655,14.952756,5.289646,3.281575,0.014463
0.020000,292.444065,1.544677,300.313850,15.059744,5.349386,2.986993,0.025707
0.020000,292.747271,1.554212,300.617206,15.167794,5.402483,2.654848,0.037192
0.020000,293.052527,1.567359,300.922744,15.276943,5.457450,2.748363,0.048919
0.020000,293.359800,1.584242,301.230480,15.386798,5.492770,1.765980,0.060889
0.020000,293.669044,1.604988,301.540420,15.496996,5.509885,0.855723,0.073105
0.020000,293.980214,1.629722,301.852572,15.607565,5.528461,0.928803,0.085566
0.020000,294.293253,1.658574,302.166937,15.718289,5.536215,0.387738,0.098274
0.020000,294.608097,1.691671,302.483516,15.828934,5.532250,-0.198252,0.111227
0.020000,294.924672,1.729142,302.802301,15.939248,5.515666,-0.829217,0.124426
0.020000,295.242896,1.771113,303.123280,16.048959,5.485572,-1.504703,0.137868
0.020000,295.562674,1.817710,303.446436,16.157781,5.441098,-2.223689,0.151553
0.020000,295.883904,1.869056,303.771744,16.265409,5.381408,-2.984530,0.165476
0.020000,296.206473,1.925272,304.099175,16.371523,5.305710,-3.784899,0.179636
0.020000,296.530255,1.986475,304.428690,16.475789,5.213275,-4.621736,0.194027
0.020000,296.855116,2.052775,304.760247,16.577858,5.103451,-5.491213,0.208645
0.020000,297.180908,2.124280,305.093795,16.677371,4.975676,-6.388703,0.223484
0.020000,297.507478,2.201089,305.429276,16.774048,4.833848,-7.091409,0.238538
0.020000,297.834657,2.283294,305.766623,16.867381,4.666654,-8.359722,0.253799
0.020000,298.162265,2.370978,306.105763,16.956960,4.478940,-9.385703,0.269259
0.020000,298.490114,2.464215,306.446612,17.042475,4.275720,-10.161000,0.284909
0.020000,298.818008,2.563069,306.789083,17.123549,4.053729,-11.099531,0.300740
